location,latitude,longitude,zone,property_type,bhk,total_sqft,price_per_sqft,price_2021,price_2022,price_2023,price_2024,price_2025,annual_growth_rate_pct,metro_access,distance_to_it_hub_km,kiii,distance_to_airport_km
Hoodi,12.985,77.7176,East,Apartment,2,1010,11250,7290,7923,8905,10009,11250,13.22,Yes,3.6,11.6,38.7
Devanahalli,13.2483,77.7185,North,Builder Floor,3,1620,8800,4731,5333,6302,7447,8800,19.35,No,31,8.2,7.5
Manyata Tech Park,13.0426,77.6215,North,Apartment,3,1970,11950,7881,8536,9549,10682,11950,13.48,No,0.5,6.7,18.3
Yelahanka,13.1038,77.5988,North,Builder Floor,3,1410,10750,6149,6847,7958,9249,10750,14.08,No,21,4.8,12
Kengeri,12.9189,77.4822,West,Builder Floor,2,880,5800,4536,4754,5080,5428,5800,6.93,Yes,19.3,8.5,38.9
RT Nagar,13.0203,77.5925,North,Apartment,3,1680,7500,6311,6522,6833,7159,7500,4.15,No,13.7,5.1,25.3
Rajarajeshwari Nagar,12.9196,77.5108,West,Apartment,3,2040,7600,5768,6080,6549,7055,7600,7.7,Yes,15.7,8.4,44.7
Hebbal,13.0353,77.594,North,Villa,3,1590,16000,10742,11594,12908,14371,16000,11.41,No,10.7,8.6,17.7
Whitefield,12.973,77.7458,East,Villa,4,3220,14750,6400,7526,9418,11786,14750,23.72,Yes,2,15.2,45.6
Anjanapura,12.8521,77.5653,South,Apartment,2,1120,6000,4600,4839,5199,5585,6000,7.79,No,12,10.8,52.7
Rajarajeshwari Nagar,12.9177,77.5079,West,Apartment,2,1150,7150,5426,5719,6161,6637,7150,8.07,Yes,14.7,7.9,39.5
Kengeri,12.9137,77.4848,West,Builder Floor,1,660,6150,4811,5042,5387,5756,6150,6.3,Yes,20.9,9,45.8
Marathahalli,12.962,77.6964,East,Builder Floor,3,2090,9150,5777,6310,7142,8084,9150,13.48,No,3,9.3,39.4
Electronic City,12.8418,77.6601,South,Apartment,2,1350,7150,4438,4864,5530,6288,7150,15.3,No,0.8,16.9,52.3
Electronic City,12.8501,77.6597,South,Apartment,2,1030,7250,4500,4932,5608,6376,7250,14.35,No,0.7,18.3,55.2
Hulimavu,12.8959,77.6161,South,Apartment,2,1260,7550,5459,5808,6339,6918,7550,8.03,No,7.1,8.1,48.4
Jayanagar,12.921,77.592,South,Villa,4,2740,15800,11104,11879,13064,14367,15800,11.4,Yes,8.6,4.1,39.7
Bellandur,12.9268,77.679,East,Builder Floor,2,910,12050,7176,7928,9115,10480,12050,15.89,No,4.1,11.5,40.7
Whitefield,12.9728,77.7531,East,Apartment,3,1420,13700,5943,6989,8747,10947,13700,24.95,Yes,2.1,15.8,44.5
Nagarbhavi,12.9662,77.5062,West,Villa,2,1170,6700,5461,5678,6000,6340,6700,6.35,No,18.9,7.3,43.8
Gottigere,12.8757,77.5996,South,Apartment,2,1080,7100,5232,5546,6022,6539,7100,9.03,No,9,8.8,48.9
Varthur,12.9461,77.7477,East,Apartment,2,1080,7050,4649,5035,5633,6302,7050,11.93,No,3.3,12.4,45
Gottigere,12.8718,77.6038,South,Apartment,2,1260,6600,4865,5157,5599,6079,6600,9.75,No,10.2,8.7,50.5
Hennur,13.0347,77.6439,North,Apartment,3,1650,8000,5371,5797,6454,7186,8000,12.99,No,10.9,7.2,22.2
Banashankari,12.9305,77.555,South,Apartment,2,1230,8700,6805,7131,7620,8142,8700,6.45,Yes,10.5,5,41.4
Whitefield,12.967,77.7491,East,Apartment,2,950,14450,6269,7372,9226,11546,14450,22.48,Yes,1.9,13.4,45.2
Hoodi,12.9789,77.7119,East,Apartment,2,1140,10400,6739,7324,8232,9253,10400,13.92,Yes,4.1,10.8,35.8
Sarjapur Road,12.9035,77.6831,East,Apartment,2,890,11300,6840,7533,8623,9871,11300,13.45,No,4.6,11.5,44.6
Varthur,12.9515,77.7492,East,Apartment,2,1280,7300,4814,5214,5833,6525,7300,12.08,No,3.3,13.8,41.5
Manyata Tech Park,13.0446,77.6175,North,Apartment,3,1890,11200,7386,8000,8950,10012,11200,12.55,No,0.5,7.2,19.5
Frazer Town,12.9802,77.6166,Central,Builder Floor,1,550,12700,10574,10949,11504,12087,12700,5.63,No,11,3.7,35.8
RT Nagar,13.0213,77.5854,North,Apartment,2,1350,7300,6143,6348,6651,6968,7300,4.34,No,14.1,5.2,26.6
Bellandur,12.9216,77.6751,East,Apartment,3,2180,13850,8247,9112,10477,12046,13850,14.94,No,4.1,10.4,41.7
Devanahalli,13.2485,77.7092,North,Builder Floor,2,1310,9200,4947,5576,6589,7786,9200,18.58,No,28.5,8.3,7.9
Malleshwaram,13.0052,77.5737,North,Apartment,2,850,13750,12505,12732,13063,13402,13750,2.57,Yes,13.8,3.3,26.4
Sarjapur Road,12.9003,77.6829,East,Apartment,2,1110,11300,6840,7533,8623,9871,11300,14.83,No,4.7,11.5,43.5
Yelahanka,13.1042,77.5987,North,Builder Floor,1,690,9650,5520,6147,7144,8303,9650,16.29,No,22.6,5.5,13.1
ITPL,12.9866,77.7294,East,Villa,1,480,11150,7101,7743,8744,9874,11150,14.42,No,1.4,13.5,35.7
HSR Layout,12.9073,77.6428,South,Apartment,3,2140,13950,8107,9000,10416,12054,13950,17.81,No,5.5,8,45.4
Frazer Town,12.9816,77.6157,Central,Apartment,3,1300,11400,9491,9828,10326,10850,11400,4.65,No,11,3.9,33.2
Yelahanka,13.1041,77.5931,North,Apartment,1,510,11000,6291,7006,8143,9464,11000,15.5,No,20.3,5,13
Banashankari,12.9309,77.5588,South,Apartment,2,940,8250,6453,6763,7226,7721,8250,7.84,Yes,10.5,5.2,36.2
Devanahalli,13.2434,77.713,North,Apartment,2,1080,8850,4759,5364,6338,7489,8850,20.55,No,32.7,7.7,7.7
RT Nagar,13.025,77.5851,North,Apartment,2,1030,7400,6227,6435,6742,7063,7400,4.17,No,12.5,5.2,25
Hebbal,13.0353,77.594,North,Villa,3,2120,16950,11380,12283,13675,15225,16950,10.91,No,9.6,8.6,16.3
Indiranagar,12.9749,77.6427,East,Apartment,4,2780,20200,13562,14638,16297,18144,20200,10.7,Yes,7.3,3.8,39.2
Malleshwaram,13.0001,77.5715,North,Apartment,2,950,12550,11412,11620,11922,12232,12550,2.43,Yes,14.6,3.2,27.7
Whitefield,12.9736,77.7512,East,Apartment,3,2080,14200,6161,7245,9067,11347,14200,26.31,Yes,1.8,13.9,43
Indiranagar,12.9814,77.6399,East,Villa,4,2060,18500,12421,13406,14925,16617,18500,12.42,Yes,6.9,4.4,35.6
Manyata Tech Park,13.0443,77.6216,North,Builder Floor,3,1620,12550,8276,8964,10028,11218,12550,11.02,No,0.5,6.8,17.2
Marathahalli,12.9625,77.6964,East,Apartment,3,2040,9250,5840,6379,7220,8172,9250,13.36,No,3.2,9.2,36.3
JP Nagar,12.9062,77.584,South,Apartment,3,1960,9100,6579,7000,7640,8338,9100,9.05,Yes,9.8,5.9,38.6
JP Nagar,12.9099,77.5853,South,Apartment,2,890,8900,6434,6846,7472,8155,8900,8.83,Yes,8.7,6.1,40.7
Hennur,13.0429,77.6422,North,Builder Floor,2,930,8300,5572,6014,6696,7455,8300,10.22,No,10.9,6.9,21.7
Rajajinagar,12.9931,77.5567,West,Builder Floor,2,1230,13400,10697,11166,11866,12610,13400,5.61,Yes,13.1,4.2,27.7
Frazer Town,12.9823,77.6194,Central,Apartment,1,690,11350,9450,9785,10281,10802,11350,4.5,No,11.5,3.9,36.5
RT Nagar,13.0227,77.5895,North,Apartment,2,940,7800,6564,6783,7106,7445,7800,5.24,No,13.4,5.6,22.5
JP Nagar,12.9078,77.5867,South,Builder Floor,1,560,9550,6904,7346,8017,8750,9550,8.41,Yes,9.3,6.2,37.3
Jayanagar,12.9203,77.59,South,Apartment,3,1690,15600,10964,11729,12899,14185,15600,10.23,Yes,10,4,42.1
Rajajinagar,12.9877,77.5567,West,Villa,4,2170,14250,11376,11875,12619,13410,14250,5.55,Yes,12.3,3.7,28.2
Varthur,12.9467,77.7513,East,Apartment,3,2050,7600,5013,5429,6073,6794,7600,12.69,No,3.3,11.8,43.6
Anjanapura,12.8548,77.5711,South,Apartment,2,1160,6400,4906,5161,5545,5957,6400,7.74,No,11,10,45.4
Whitefield,12.9687,77.7545,East,Apartment,2,1100,13500,5856,6887,8619,10787,13500,28.69,Yes,1.8,14.2,45.2
Kanakapura Road,12.8625,77.5862,South,Apartment,2,1240,8950,6175,6630,7327,8098,8950,11.58,Yes,8,8.5,43.3
KR Puram,13.0028,77.7014,East,Builder Floor,2,970,9500,4995,5655,6722,7991,9500,19.07,Yes,6.6,7.2,38.3
Devanahalli,13.2479,77.7133,North,Apartment,1,540,8700,4677,5272,6230,7362,8700,17.86,No,32.7,8.4,7.4
MG Road,12.9747,77.598,Central,Villa,2,950,15050,12268,12755,13478,14242,15050,5.69,Yes,11.5,3.1,33.7
Varthur,12.9434,77.7457,East,Apartment,2,1320,7750,5111,5536,6193,6928,7750,10.71,No,3.2,12.4,42.8
Anjanapura,12.8519,77.566,South,Builder Floor,2,980,5700,4370,4597,4939,5306,5700,7.69,No,11.4,10.8,46.9
Devanahalli,13.2486,77.712,North,Apartment,3,1420,9500,5107,5757,6803,8039,9500,16.2,No,31.7,7.2,8.3
Bellandur,12.926,77.6792,East,Builder Floor,2,1210,13850,8247,9112,10477,12046,13850,15.38,No,4.1,11.7,39.9
Thanisandra,13.0597,77.6279,North,Builder Floor,2,1110,10200,6440,7034,7962,9012,10200,12.95,No,13,7.6,18.3
Indiranagar,12.9774,77.6403,East,Apartment,2,1210,20600,13830,14927,16619,18503,20600,9.74,Yes,6.8,4.2,37.3
Rajajinagar,12.9897,77.5498,West,Apartment,2,1090,14150,11297,11792,12531,13316,14150,5.41,Yes,13.6,3.8,31.7
MG Road,12.9717,77.6059,Central,Apartment,3,1370,15000,12227,12712,13433,14195,15000,5.29,Yes,10.9,3.4,37.1
Kanakapura Road,12.8646,77.59,South,Builder Floor,2,1070,8000,5520,5926,6549,7238,8000,9.7,Yes,7.8,7.5,48.6
Rajajinagar,12.9918,77.5546,West,Villa,2,1110,14450,11535,12041,12796,13598,14450,6.83,Yes,12.8,4.2,30.7
RT Nagar,13.0193,77.5878,North,Apartment,1,640,7700,6480,6696,7015,7350,7700,4.89,No,13.8,5.4,23.9
HSR Layout,12.9155,77.6356,South,Apartment,2,1070,14000,8136,9032,10453,12097,14000,16.87,No,5.9,7.2,41.9
Electronic City,12.8475,77.6596,South,Builder Floor,2,1320,7050,4376,4796,5453,6200,7050,14.92,No,0.8,16.7,55.3
Electronic City,12.8421,77.6617,South,Builder Floor,2,990,7450,4624,5068,5762,6552,7450,15.5,No,0.8,17.5,60
Hoodi,12.9825,77.7207,East,Apartment,4,3170,10600,6869,7465,8391,9431,10600,11.36,Yes,4.4,10.9,38.8
Hennur,13.0373,77.6438,North,Apartment,2,1040,8950,6009,6486,7221,8039,8950,12.39,No,11,6.8,20.4
ITPL,12.9833,77.7296,East,Builder Floor,4,3120,11650,7419,8090,9136,10317,11650,14.75,No,1.6,12.5,35.6
Bannerghatta Road,12.8787,77.6001,South,Builder Floor,3,1880,9300,5822,6370,7226,8198,9300,13.92,No,8.2,6.3,46.1
Gottigere,12.8684,77.5972,South,Apartment,2,1240,6650,4901,5195,5641,6125,6650,8.76,No,9.8,8.4,49.8
Bellandur,12.9296,77.6738,East,Apartment,3,2120,13750,8188,9046,10401,11959,13750,13.72,No,4,10.8,40.8
Malleshwaram,13,77.5734,North,Apartment,4,3370,13150,11958,12176,12492,12817,13150,2.5,Yes,14,3.8,26.7
Electronic City,12.8464,77.6631,South,Apartment,2,940,6950,4313,4727,5375,6112,6950,13.77,No,0.9,18,50.4
Anjanapura,12.8601,77.5678,South,Apartment,2,1120,6100,4676,4919,5285,5678,6100,7.52,No,12,10.9,45.2
Manyata Tech Park,13.0433,77.6262,North,Apartment,1,450,11300,7452,8071,9029,10101,11300,10.74,No,0.5,7.2,17.3
RT Nagar,13.0196,77.5932,North,Builder Floor,3,2100,7050,5933,6131,6423,6729,7050,4.59,No,12.7,5.4,26.1
Varthur,12.9493,77.7473,East,Builder Floor,3,1530,7700,5078,5500,6153,6883,7700,12.52,No,3.5,12.3,41.8
Devanahalli,13.2509,77.7125,North,Apartment,3,1740,9550,5135,5788,6839,8082,9550,19.18,No,31.7,7.5,7.3
Gottigere,12.8756,77.5995,South,Apartment,2,940,6350,4680,4961,5386,5848,6350,9.32,No,10.8,9.1,43.9
Devanahalli,13.2467,77.7132,North,Apartment,1,470,8950,4813,5425,6410,7574,8950,17.82,No,31,7.6,7.8
Nagarbhavi,12.965,77.4995,West,Builder Floor,1,570,6500,5299,5509,5821,6151,6500,6.49,No,17.6,6.7,44.8
ITPL,12.9901,77.727,East,Apartment,1,540,11750,7482,8159,9214,10405,11750,11.23,No,1.6,12.5,36.1
Kengeri,12.9194,77.4825,West,Apartment,1,460,5750,4497,4713,5036,5381,5750,6.46,Yes,21.6,8.7,39.8
MG Road,12.9736,77.5964,Central,Apartment,3,2090,16750,13653,14195,15000,15851,16750,6.38,Yes,13,3.2,32.6
KR Puram,13.0077,77.7024,East,Apartment,2,1040,10300,5415,6131,7288,8664,10300,21.69,Yes,5.9,6.6,35.3
Manyata Tech Park,13.0451,77.6183,North,Apartment,3,1610,11400,7518,8143,9110,10191,11400,11.38,No,0.5,6.8,20.7
Indiranagar,12.9789,77.6416,East,Apartment,3,2160,21000,14098,15217,16942,18862,21000,9.69,Yes,6.6,4,32.7
KR Puram,13.0083,77.6997,East,Builder Floor,1,560,10200,5362,6071,7217,8580,10200,20.11,Yes,6.3,6.5,34.3
Devanahalli,13.2467,77.7123,North,Apartment,1,620,8350,4490,5061,5980,7066,8350,17.29,No,33,8.2,7.8
Rajarajeshwari Nagar,12.9254,77.5047,West,Apartment,2,960,7300,5541,5840,6291,6777,7300,6.67,Yes,15.1,8.8,41.9
Thanisandra,13.0644,77.6256,North,Apartment,1,530,9550,6030,6587,7455,8438,9550,12.46,No,12.9,6.5,21.1
Anjanapura,12.8587,77.5697,South,Apartment,1,480,6050,4637,4878,5241,5631,6050,7.71,No,12.6,10.1,49.1
Rajarajeshwari Nagar,12.9255,77.5115,West,Apartment,2,1040,7950,6034,6360,6851,7380,7950,7.78,Yes,14.2,9.3,42.7
Electronic City,12.8454,77.6649,South,Apartment,1,530,7250,4500,4932,5608,6376,7250,13.43,No,0.8,18,60.7
Marathahalli,12.9615,77.7014,East,Apartment,3,1390,9300,5872,6414,7260,8217,9300,14.9,No,3.3,10.4,42.8
Thanisandra,13.0558,77.626,North,Apartment,3,1740,10200,6440,7034,7962,9012,10200,12.45,No,13,6.7,19.6
Frazer Town,12.9745,77.6154,Central,Villa,1,490,12900,10739,11120,11684,12277,12900,4.76,No,10.1,3.9,37.6
Jayanagar,12.926,77.5942,South,Villa,3,2080,15600,10964,11729,12899,14185,15600,8.73,Yes,9.6,3.7,36.6
Jayanagar,12.926,77.5911,South,Apartment,3,2100,16450,11562,12369,13602,14958,16450,10.31,Yes,8.8,3.4,42.2
MG Road,12.9784,77.6008,Central,Apartment,3,2190,14900,12145,12627,13343,14100,14900,5.53,Yes,11.1,2.9,33.3
Jayanagar,12.9295,77.5932,South,Villa,3,1320,14250,10016,10715,11783,12958,14250,9.01,Yes,10.4,3.6,39.8
Marathahalli,12.9576,77.6966,East,Apartment,3,1840,9650,6093,6655,7533,8526,9650,14.27,No,3.2,9.9,36.4
Hoodi,12.9798,77.7179,East,Apartment,4,2570,10500,6803,7394,8311,9342,10500,13.35,Yes,4.4,12.2,39.1
ITPL,12.9825,77.7292,East,Apartment,2,1140,11400,7260,7917,8940,10095,11400,13.17,No,1.5,14.4,36.2
MG Road,12.9722,77.6023,Central,Villa,3,1570,16900,13776,14323,15135,15993,16900,6.13,Yes,11.1,3,32.2
Rajajinagar,12.9935,77.5579,West,Apartment,3,2170,13250,10578,11042,11734,12469,13250,5.64,Yes,11.9,4.2,32.8
Sarjapur Road,12.9043,77.6886,East,Apartment,4,2030,12000,7264,8000,9158,10483,12000,13.76,No,4.5,12.3,41.6
Hulimavu,12.9,77.6149,South,Builder Floor,2,1080,7450,5385,5730,6254,6826,7450,9.74,No,7.8,8.8,45.7
Gottigere,12.8713,77.5946,South,Villa,2,1110,7150,5270,5586,6065,6585,7150,8.77,No,10.4,9.7,42.3
Yelahanka,13.1008,77.6012,North,Apartment,3,1980,10900,6235,6943,8069,9378,10900,15.85,No,23.2,4.7,11.7
RT Nagar,13.0189,77.5937,North,Builder Floor,2,1140,7900,6647,6869,7197,7540,7900,4.61,No,11.9,5.6,22.5
Anjanapura,12.8577,77.5692,South,Apartment,2,1040,6450,4945,5202,5589,6004,6450,7.54,No,12.5,10.7,48.6
Varthur,12.9487,77.7529,East,Apartment,3,1760,7850,5177,5607,6273,7017,7850,12.96,No,3.2,13.6,42.9
Sarjapur Road,12.9019,77.6903,East,Apartment,2,920,12700,7688,8467,9692,11094,12700,15.42,No,4.3,12.2,47.5
Electronic City,12.8413,77.6614,South,Apartment,3,2090,7000,4345,4762,5414,6156,7000,14.3,No,0.8,16.5,50.3
ITPL,12.9855,77.7239,East,Apartment,2,900,10250,6527,7118,8038,9077,10250,12.68,No,1.4,13.7,36.7
RT Nagar,13.0179,77.5898,North,Apartment,2,1200,7400,6227,6435,6742,7063,7400,4.93,No,12.5,5.5,27.5
Bannerghatta Road,12.8772,77.601,South,Apartment,2,1020,9150,5728,6267,7110,8066,9150,13.13,No,9,7,41.1
Devanahalli,13.2451,77.717,North,Apartment,3,1970,9250,4974,5606,6625,7828,9250,19.91,No,28.7,8.5,8.2
Banashankari,12.9353,77.5584,South,Apartment,2,930,8050,6297,6599,7051,7534,8050,7.14,Yes,9.9,4.8,38.6
Frazer Town,12.9731,77.6127,Central,Apartment,1,630,12150,10116,10475,11006,11564,12150,5.27,No,10.2,3.8,36.9
Bellandur,12.9285,77.6746,East,Apartment,2,1300,12450,7413,8190,9417,10828,12450,14.37,No,4.1,12,45.2
Gottigere,12.8743,77.5941,South,Builder Floor,2,920,6800,5011,5312,5768,6263,6800,8.69,No,9.2,9.3,42
Hoodi,12.9823,77.7147,East,Apartment,3,1550,9650,6252,6795,7638,8585,9650,13.57,Yes,4.2,11.7,41.6
Kanakapura Road,12.8672,77.5866,South,Builder Floor,1,480,8800,6071,6518,7204,7962,8800,11.67,Yes,8,8,46.5
Hennur,13.0351,77.641,North,Apartment,2,1110,9150,6144,6631,7382,8219,9150,10.89,No,10.7,8.1,21.6
Richmond Town,12.9659,77.6057,Central,Apartment,3,1680,15250,11928,12500,13357,14272,15250,7.29,Yes,12.3,2.8,36.8
Jayanagar,12.9254,77.5986,South,Villa,3,2200,15650,10999,11767,12941,14231,15650,9.21,Yes,8.6,3.5,38.2
KR Puram,13.0054,77.693,East,Apartment,3,2110,9900,5205,5893,7005,8328,9900,16.45,Yes,6.7,6.4,31.7
Richmond Town,12.9645,77.5991,Central,Builder Floor,2,1070,13450,10519,11024,11780,12587,13450,7.26,Yes,10.8,2.5,37.1
Thanisandra,13.0608,77.6236,North,Apartment,2,870,10000,6314,6897,7806,8835,10000,13.18,No,11.5,6.6,20.3
HSR Layout,12.9105,77.6425,South,Builder Floor,3,1450,14050,8165,9064,10490,12140,14050,13.54,No,5.2,8.6,42.9
Marathahalli,12.9591,77.6999,East,Apartment,3,1940,9300,5872,6414,7260,8217,9300,12.69,No,3,9.3,41.4
Manyata Tech Park,13.0491,77.6255,North,Apartment,2,1040,12650,8343,9036,10108,11308,12650,10.27,No,0.5,7.5,20
Bannerghatta Road,12.876,77.5928,South,Apartment,1,640,9650,6041,6609,7498,8506,9650,13.95,No,8.4,6.3,43.2
Rajajinagar,12.9872,77.5509,West,Apartment,3,1650,14050,11216,11708,12442,13222,14050,6.76,Yes,12.4,4.2,31.7
RT Nagar,13.0239,77.5926,North,Apartment,1,530,7250,6100,6304,6605,6920,7250,5.4,No,13.1,5.6,25.9
Malleshwaram,13.0067,77.5734,North,Apartment,3,1530,14250,12958,13194,13537,13889,14250,2.54,Yes,14.4,3.6,28.6
Devanahalli,13.2474,77.7185,North,Apartment,2,1040,8800,4731,5333,6302,7447,8800,15.74,No,32.7,8.2,8.4
Banashankari,12.9341,77.5557,South,Apartment,2,850,8000,6258,6558,7007,7487,8000,5.95,Yes,11.3,4.9,37.7
Bannerghatta Road,12.883,77.593,South,Villa,3,1850,9450,5916,6473,7343,8330,9450,14.05,No,8.9,6.7,42.2
Kanakapura Road,12.8611,77.5864,South,Villa,1,690,8950,6175,6630,7327,8098,8950,9.56,Yes,7.3,8.7,45.4
MG Road,12.9744,77.5989,Central,Apartment,3,1470,16800,13693,14237,15045,15898,16800,5.82,Yes,12.4,2.9,35
HSR Layout,12.9158,77.6379,South,Apartment,2,1210,13700,7962,8839,10229,11838,13700,14.79,No,5.5,7.6,41.7
HSR Layout,12.9162,77.6347,South,Villa,3,1720,13400,7788,8645,10005,11579,13400,16.11,No,5.8,7.1,38.8
Hoodi,12.987,77.7148,East,Villa,3,2100,10650,6901,7500,8430,9475,10650,12.99,Yes,4.1,11.5,36.3
Hennur,13.0427,77.6375,North,Apartment,2,1100,8750,5874,6340,7059,7859,8750,10.77,No,10.9,7.8,23.4
Hulimavu,12.8921,77.6086,South,Villa,2,1340,6700,4844,5154,5625,6139,6700,9.64,No,7,8.4,39.7
Varthur,12.9448,77.746,East,Apartment,2,1090,7300,4814,5214,5833,6525,7300,10.86,No,3.3,12.6,40
JP Nagar,12.906,77.5871,South,Apartment,2,1230,10100,7302,7769,8479,9254,10100,8.31,Yes,8.8,6.5,36.7
Rajajinagar,12.9882,77.5481,West,Apartment,2,1120,12850,10258,10708,11379,12092,12850,6.37,Yes,13,3.8,28.4
Hennur,13.0423,77.6384,North,Apartment,1,620,8250,5539,5978,6656,7410,8250,12.46,No,11.2,7.6,22.4
Frazer Town,12.9781,77.6176,Central,Apartment,4,3330,12950,10781,11164,11730,12325,12950,4.46,No,11,3.4,34.2
Hulimavu,12.892,77.6115,South,Builder Floor,3,1580,6950,5025,5346,5835,6368,6950,9.6,No,6.8,8.5,41.5
Varthur,12.9438,77.7469,East,Builder Floor,2,1110,7650,5045,5464,6113,6838,7650,13.52,No,3.4,13.6,40.8
JP Nagar,12.9093,77.5881,South,Apartment,3,2190,9600,6940,7384,8059,8796,9600,10.48,Yes,9.3,6.1,39.8
Devanahalli,13.245,77.7188,North,Apartment,2,880,8550,4598,5183,6124,7236,8550,19.2,No,31.1,7.4,7.8
MG Road,12.9793,77.5982,Central,Apartment,2,1310,16300,13285,13813,14597,15425,16300,5.67,Yes,11,3.3,34.8
Anjanapura,12.8572,77.5648,South,Villa,1,640,6600,5059,5322,5718,6143,6600,8.04,No,10.9,9.7,43.3
Bannerghatta Road,12.8802,77.5949,South,Builder Floor,3,1850,9650,6041,6609,7498,8506,9650,13.97,No,7.6,6.4,45.9
Bannerghatta Road,12.8745,77.5959,South,Apartment,2,1100,10300,6448,7055,8003,9079,10300,14.63,No,7.7,6.1,45.9
Anjanapura,12.8526,77.5666,South,Apartment,2,1000,6500,4982,5241,5631,6050,6500,7.89,No,10.9,9.8,43.8
KR Puram,13.0064,77.7012,East,Apartment,3,1710,8900,4680,5298,6298,7487,8900,18.69,Yes,5.9,6.2,33.6
Frazer Town,12.9739,77.6139,Central,Apartment,3,2180,12500,10407,10776,11323,11897,12500,5.31,No,10.9,4.1,38.1
Rajajinagar,12.9947,77.5578,West,Apartment,1,570,13900,11096,11583,12309,13080,13900,6.15,Yes,13.2,4.2,30.1
Jayanagar,12.9287,77.5957,South,Apartment,3,1590,14250,10016,10715,11783,12958,14250,10.5,Yes,9.2,3.7,35.7
Devanahalli,13.244,77.7155,North,Apartment,1,490,9250,4974,5606,6625,7828,9250,16.95,No,31.4,7.8,7.7
JP Nagar,12.907,77.5845,South,Apartment,1,520,9700,7013,7462,8144,8888,9700,9.02,Yes,9.3,7,40.4
Gottigere,12.8735,77.5995,South,Builder Floor,1,690,6500,4790,5078,5514,5987,6500,7.9,No,9.7,8.6,45.5
Jayanagar,12.9243,77.5944,South,Apartment,3,1500,14650,10296,11015,12114,13322,14650,9.61,Yes,8.9,3.9,36.1
KR Puram,13.0059,77.7015,East,Builder Floor,3,1410,10150,5336,6041,7182,8538,10150,18.12,Yes,5.9,7.2,35.3
Nagarbhavi,12.9631,77.4981,West,Builder Floor,2,1100,6250,5095,5297,5597,5915,6250,6.39,No,17.3,6.4,39.5
Varthur,12.9462,77.7488,East,Apartment,2,890,7750,5111,5536,6193,6928,7750,10.92,No,3.7,12.4,45.7
JP Nagar,12.9039,77.5881,South,Builder Floor,2,880,9800,7085,7538,8227,8979,9800,10.42,Yes,8.3,5.9,39.7
Whitefield,12.9734,77.7525,East,Apartment,3,1460,13600,5900,6938,8683,10867,13600,28.35,Yes,1.8,13.9,46.1
Whitefield,12.9713,77.746,East,Apartment,1,660,14900,6464,7602,9514,11906,14900,26.07,Yes,1.9,13.8,41.5
Devanahalli,13.2432,77.7178,North,Apartment,2,870,8900,4785,5394,6374,7532,8900,15.65,No,31.8,7.4,7.9
Bannerghatta Road,12.8797,77.5973,South,Apartment,3,2010,9950,6230,6816,7732,8771,9950,11.6,No,7.4,6.2,47.3
Nagarbhavi,12.9658,77.5054,West,Apartment,2,1070,6550,5338,5550,5865,6198,6550,5.33,No,17.8,7.1,41.3
Rajajinagar,12.992,77.5528,West,Apartment,3,2110,13500,10777,11250,11955,12704,13500,6.3,Yes,12.5,3.8,28.8
Sarjapur Road,12.9001,77.6862,East,Apartment,2,1170,11950,7233,7966,9119,10439,11950,14.97,No,4.8,12,44.4
Whitefield,12.9721,77.7456,East,Builder Floor,3,1300,14050,6095,7168,8971,11227,14050,21.51,Yes,1.9,15.5,40.9
ITPL,12.9833,77.7284,East,Apartment,3,1880,10850,6909,7534,8508,9608,10850,14.69,No,1.5,13.1,40.6
Manyata Tech Park,13.0446,77.6178,North,Apartment,3,1750,12450,8211,8893,9948,11129,12450,13.15,No,0.5,6.5,20.9
Hoodi,12.9836,77.7163,East,Builder Floor,2,1240,10400,6739,7324,8232,9253,10400,11.87,Yes,3.7,13.2,34.2
Yelahanka,13.1012,77.5929,North,Apartment,3,1600,11250,6434,7165,8328,9679,11250,16.03,No,22.5,5.2,12.4
Rajajinagar,12.9861,77.5549,West,Builder Floor,3,2040,13750,10977,11458,12176,12939,13750,6.89,Yes,13.2,3.6,30.5
Indiranagar,12.9752,77.6438,East,Apartment,3,1550,20000,13427,14492,16135,17964,20000,12.7,Yes,7.3,4,33
MG Road,12.9797,77.5991,Central,Apartment,4,3170,16100,13123,13644,14418,15236,16100,5.23,Yes,12.5,2.9,34.8
Rajarajeshwari Nagar,12.9234,77.51,West,Villa,2,1230,7600,5768,6080,6549,7055,7600,7.17,Yes,16.4,8.3,42.1
Thanisandra,13.0572,77.6294,North,Apartment,3,2090,8850,5587,6103,6908,7819,8850,13.19,No,11.2,7.5,20.5
Rajarajeshwari Nagar,12.926,77.5063,West,Apartment,1,600,7750,5881,6199,6678,7194,7750,8.47,Yes,15.6,7.9,45.9
Bannerghatta Road,12.8762,77.5939,South,Apartment,3,1960,9800,6136,6713,7615,8639,9800,12.42,No,7.9,6,41.9
Nagarbhavi,12.9669,77.5043,West,Apartment,1,600,6200,5053,5254,5552,5867,6200,5.29,No,17.4,7.4,40.6
Manyata Tech Park,13.041,77.6211,North,Apartment,4,2990,11700,7716,8357,9349,10459,11700,13.23,No,0.5,7.3,19.1
Gottigere,12.8666,77.598,South,Builder Floor,3,1880,7150,5270,5586,6065,6585,7150,8.37,No,9.2,8.3,45.9
Marathahalli,12.9607,77.7012,East,Apartment,2,970,8800,5556,6069,6869,7775,8800,13.64,No,2.8,9.8,41.7
