location,latitude,longitude,zone,property_type,bhk,total_sqft,price_per_sqft,price_2021,price_2022,price_2023,price_2024,price_2025,annual_growth_rate_pct,metro_access,distance_to_it_hub_km,kiii,distance_to_airport_km,price_growth_21_25,price_growth_23_25,price_cagr,total_value_lakhs,value_per_bhk,sqft_per_bhk,connectivity_score,price_per_sqft_norm,annual_growth_rate_pct_norm,total_value_lakhs_norm,connectivity_score_norm,distance_to_it_hub_km_norm,zone_enc,type_enc,loc_enc,predicted_price_1yr,predicted_price_3yr,predicted_price_5yr,roi_1yr,roi_3yr,roi_5yr,growth_rate_index,investment_score,category,location_rank,location_insight,best_city_flag
Marathahalli,12.9627,77.6968,East,Apartment,1,470,8600,5430,5931,6713,7598,8600,11.95,0,3.3,9.7,41.5,58.3793738489871,28.109638015790257,12.182381521007546,40.42,40.42,470.0,25.95,0.1761194029850746,0.36493068565005615,0.01987812157303683,0.3858695652173913,0.08615384615384615,1,0,23,9680.0,12146.0,15217.0,12.56,41.23,76.94,16.07,44.2,Stable,116,Marathahalli offers steady 13.3% annual appreciation. Investment score: 46/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 77.6%.,0
Yelahanka,13.0981,77.601,North,Builder Floor,2,1280,11100,6349,7070,8217,9550,11100,18.37,0,23.7,5.3,12.2,74.8306819971649,35.085797736400146,14.988501110520836,142.08,71.04,640.0,23.9,0.3253731343283582,0.6054702135631324,0.16099612709782204,0.34130434782608693,0.7138461538461538,2,1,34,12743.0,16848.0,22285.0,14.8,51.78,100.77,21.37,52.7,High Growth,17,Yelahanka is among the fastest appreciating micro-markets with 16.2% YoY growth. Investment score: 50/100. Projected 3-year ROI: 52.1%. Ideal for growth-oriented investors with a medium horizon.,0
Anjanapura,12.858,77.5685,South,Builder Floor,2,1310,6000,4600,4839,5199,5585,6000,7.46,0,12.7,9.9,51.2,30.434782608695656,15.406809001731103,6.868165579854568,78.6,39.3,655.0,11.7,0.020895522388059702,0.19670288497564634,0.07287719152125931,0.07608695652173914,0.37538461538461537,3,1,0,6403.0,7285.0,8324.0,6.72,21.42,38.73,9.24,27.3,Stable,115,Anjanapura offers steady 7.5% annual appreciation. Investment score: 28/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 39.4%.,0
Devanahalli,13.2483,77.7112,North,Builder Floor,1,600,9250,4974,5606,6625,7828,9250,20.34,0,28.1,8.4,7.5,85.96702854845195,39.62264150943396,16.777450097824186,55.5,55.5,600.0,26.25,0.21492537313432836,0.679280629449232,0.04081122725190522,0.3923913043478261,0.8492307692307692,2,1,4,10812.0,14713.0,20089.0,16.89,59.06,117.18,23.91,60.6,High Growth,15,Devanahalli is among the fastest appreciating micro-markets with 18.2% YoY growth. Investment score: 58/100. Projected 3-year ROI: 59.2%. Ideal for growth-oriented investors with a medium horizon.,0
Marathahalli,12.9635,77.6995,East,Apartment,2,1300,9550,6030,6587,7455,8438,9550,13.59,0,2.8,9.6,38.6,58.374792703150916,28.101945003353457,12.181570289386755,124.15,62.075,650.0,27.9,0.23283582089552238,0.42637692019482953,0.1361068310220853,0.42826086956521736,0.07076923076923076,1,0,23,10714.0,13525.0,17001.0,12.19,41.62,78.02,16.73,46.7,Stable,60,Marathahalli offers steady 13.3% annual appreciation. Investment score: 46/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 77.6%.,0
Kanakapura Road,12.8633,77.5854,South,Apartment,1,510,8100,5588,6000,6631,7329,8100,9.25,1,7.3,8.6,40.6,44.95347172512527,22.15352133916453,9.725395612523325,41.31,41.31,510.0,47.400000000000006,0.14626865671641792,0.2637692019482953,0.021113563486444845,0.8521739130434783,0.20923076923076922,3,0,17,8896.0,10706.0,12920.0,9.83,32.17,59.51,12.64,50.2,Stable,52,"Kanakapura Road presents an emerging opportunity — current price Rs 8,481/sqft is still accessible, while connectivity score of 44 and 10.4% growth signal strong upside. 5-year ROI estimate: 59.0%. Early-entry advantage recommended.",0
Rt Nagar,13.0214,77.5926,North,Apartment,2,1180,8000,6731,6956,7288,7636,8000,4.24,0,14.0,5.0,27.5,18.853067894815034,9.769484083424809,4.41252517060764,94.4,47.2,590.0,22.25,0.14029850746268657,0.07605844885724992,0.09480975582670499,0.30543478260869567,0.4153846153846154,2,0,29,8375.0,9147.0,9976.0,4.69,14.34,24.7,5.68,25.0,Stable,142,Rt Nagar offers steady 4.8% annual appreciation. Investment score: 27/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 24.1%.,0
Jp Nagar,12.905,77.5807,South,Builder Floor,2,930,9700,7013,7462,8144,8888,9700,10.13,1,9.7,6.4,40.5,38.3145586767432,19.106090373280942,8.446857999998114,90.21,45.105,465.0,45.05,0.2417910447761194,0.2967403521918322,0.08899346187481778,0.801086956521739,0.28307692307692306,3,1,16,10501.0,12361.0,14542.0,8.26,27.43,49.92,11.78,47.3,High Potential,46,Jp Nagar offers steady 9.1% annual appreciation. Investment score: 47/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 50.3%.,0
Banashankari,12.9289,77.5517,South,Apartment,3,1970,8300,6493,6804,7270,7768,8300,6.62,1,10.0,4.7,39.7,27.82997073771754,14.167812929848694,6.330577441960106,163.51,54.50333333333333,656.6666666666666,45.15,0.1582089552238806,0.1652304233795429,0.1907439026083094,0.8032608695652175,0.2923076923076923,3,0,1,8834.0,9978.0,11226.0,6.43,20.22,35.25,8.41,41.8,Stable,89,Banashankari offers steady 6.8% annual appreciation. Investment score: 42/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 35.9%.,0
Kr Puram,13.0058,77.6993,East,Apartment,1,570,9900,5205,5893,7005,8328,9900,19.89,1,7.1,6.6,34.1,90.20172910662824,41.32762312633833,17.436639489596438,56.43,56.43,570.0,50.849999999999994,0.2537313432835821,0.6624203821656052,0.04210219464456753,0.9271739130434781,0.20307692307692307,1,0,20,11639.0,16076.0,22148.0,17.57,62.38,123.72,24.39,73.7,High Potential,50,"Kr Puram presents an emerging opportunity — current price Rs 9,567/sqft is still accessible, while connectivity score of 51 and 18.8% growth signal strong upside. 5-year ROI estimate: 123.3%. Early-entry advantage recommended.",0
Hebbal,13.0339,77.5981,North,Apartment,2,1230,16000,10742,11594,12908,14371,16000,10.96,0,9.3,7.3,19.3,48.94805436603985,23.95413696932135,10.473651402390871,196.8,98.4,615.0,31.05,0.6179104477611941,0.3278381416260772,0.2369549827176946,0.4967391304347826,0.2707692307692308,2,0,8,17536.0,21526.0,26202.0,9.6,34.54,63.76,14.04,37.1,Premium,92,"Hebbal commands premium pricing at Rs 16,039/sqft with a 11.4% annual growth trajectory. 5-year ROI forecast: 64.6%. Best suited for high-net-worth portfolio diversification.",0
Manyata Tech Park,13.0476,77.6261,North,Builder Floor,3,2020,11700,7716,8357,9349,10459,11700,12.54,0,0.5,7.0,20.0,51.632970451010884,25.147074553428173,10.968166587190776,236.34,78.78,673.3333333333334,39.5,0.3611940298507463,0.3870363431997002,0.29184191896056305,0.6804347826086957,0.0,2,1,22,12997.0,15967.0,19772.0,11.09,36.47,68.99,15.14,48.4,High Potential,34,"Manyata Tech Park presents an emerging opportunity — current price Rs 11,967/sqft is still accessible, while connectivity score of 40 and 11.9% growth signal strong upside. 5-year ROI estimate: 68.4%. Early-entry advantage recommended.",0
Yelahanka,13.1017,77.5968,North,Apartment,1,570,10700,6120,6815,7921,9206,10700,17.2,0,23.9,5.0,11.2,74.83660130718954,35.08395404620629,14.989474400703395,60.99,60.99,570.0,24.4,0.30149253731343284,0.5616335706257025,0.04843209927955691,0.3521739130434782,0.72,2,0,34,12295.0,16246.0,21563.0,14.91,51.83,101.52,20.9,51.9,High Growth,33,Yelahanka is among the fastest appreciating micro-markets with 16.2% YoY growth. Investment score: 50/100. Projected 3-year ROI: 52.1%. Ideal for growth-oriented investors with a medium horizon.,0
Banashankari,12.9284,77.5516,South,Apartment,3,1840,9150,7157,7500,8014,8563,9150,6.87,1,10.1,4.5,35.4,27.846863210842532,14.175193411529824,6.334090110795509,168.36,56.120000000000005,613.3333333333334,47.2,0.208955223880597,0.17459722742600225,0.19747636696789242,0.8478260869565217,0.29538461538461536,3,0,1,9723.0,10973.0,12358.0,6.26,19.92,35.06,8.51,42.5,Stable,59,Banashankari offers steady 6.8% annual appreciation. Investment score: 42/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 35.9%.,0
Gottigere,12.8742,77.6014,South,Apartment,1,690,7200,5306,5625,6107,6631,7200,7.32,0,9.6,9.3,45.5,35.69543912551828,17.897494678238086,7.929785190097638,49.68,49.68,690.0,17.65,0.09253731343283582,0.1914574747096291,0.03273227002040561,0.20543478260869563,0.27999999999999997,3,0,7,7758.0,9014.0,10504.0,7.75,25.19,45.89,10.18,30.3,Stable,134,Gottigere offers steady 8.7% annual appreciation. Investment score: 32/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 46.5%.,0
Yelahanka,13.1047,77.5983,North,Builder Floor,2,870,11050,6320,7038,8180,9507,11050,15.52,0,22.4,5.0,11.3,74.84177215189874,35.085574572127136,14.990324603287553,96.135,48.0675,435.0,24.35,0.32238805970149254,0.49868864743349567,0.09721817348935993,0.35108695652173916,0.6738461538461538,2,1,34,12692.0,16791.0,22201.0,14.86,51.95,100.91,20.23,49.3,High Growth,97,Yelahanka is among the fastest appreciating micro-markets with 16.2% YoY growth. Investment score: 50/100. Projected 3-year ROI: 52.1%. Ideal for growth-oriented investors with a medium horizon.,0
Manyata Tech Park,13.0481,77.6244,North,Apartment,1,560,11900,7847,8499,9508,10637,11900,10.89,0,0.5,6.8,18.5,51.65031222123104,25.157761884728654,10.971339218305221,66.64,66.64,560.0,40.25,0.373134328358209,0.32521543649306855,0.056275073224225765,0.6967391304347825,0.0,2,0,22,13227.0,16281.0,20008.0,11.15,36.82,68.13,14.49,46.3,High Potential,110,"Manyata Tech Park presents an emerging opportunity — current price Rs 11,967/sqft is still accessible, while connectivity score of 40 and 11.9% growth signal strong upside. 5-year ROI estimate: 68.4%. Early-entry advantage recommended.",0
Rajajinagar,12.9865,77.5508,West,Apartment,2,1240,12950,10338,10791,11467,12186,12950,6.88,1,11.5,4.0,27.7,25.26600889920681,12.932763582454,5.793335540650912,160.58,80.29,620.0,49.65,0.43582089552238806,0.17497189958786064,0.18667666125293247,0.9010869565217392,0.3384615384615385,4,0,26,13734.0,15334.0,17134.0,6.05,18.41,32.31,8.01,40.0,Stable,1,Rajajinagar offers steady 6.3% annual appreciation. Investment score: 37/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 32.6%.,0
Bannerghatta Road,12.8798,77.6021,South,Apartment,2,1130,8950,5603,6130,6954,7889,8950,15.07,0,8.3,6.5,46.0,59.735855791540246,28.702904802991085,12.42181777190634,101.135,50.5675,565.0,18.7,0.19701492537313434,0.4818284001498689,0.10415885839614653,0.22826086956521738,0.24000000000000002,3,0,2,10067.0,12772.0,16131.0,12.48,42.7,80.23,17.55,44.5,High Growth,19,Bannerghatta Road offers steady 13.5% annual appreciation. Investment score: 43/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 79.6%.,0
Whitefield,12.9712,77.7471,East,Apartment,1,700,14600,6334,7449,9322,11666,14600,23.16,1,2.0,14.6,43.0,130.50205241553522,56.61875134091397,23.216451999091525,102.2,102.2,700.0,51.5,0.5343283582089552,0.7849381790932934,0.10563722428129207,0.9413043478260869,0.046153846153846156,1,0,33,17989.0,27295.0,41437.0,23.21,86.95,183.82,31.54,82.9,High Growth,113,Whitefield is among the fastest appreciating micro-markets with 25.1% YoY growth. Investment score: 86/100. Projected 3-year ROI: 87.1%. Ideal for growth-oriented investors with a medium horizon.,1
Marathahalli,12.9589,77.6995,East,Apartment,2,1290,9150,5777,6310,7142,8084,9150,14.98,0,3.1,10.5,42.3,58.38670590271767,28.115373844861384,12.183679848166529,118.035,59.0175,645.0,25.75,0.208955223880597,0.4784563506931435,0.12761837338108525,0.3815217391304348,0.08,1,0,23,10271.0,12919.0,16194.0,12.25,41.19,76.98,17.29,47.5,Stable,36,Marathahalli offers steady 13.3% annual appreciation. Investment score: 46/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 77.6%.,0
Manyata Tech Park,13.0407,77.6193,North,Apartment,3,1940,12200,8046,8715,9749,10906,12200,12.31,0,0.5,6.9,20.4,51.628138205319416,25.141040106677607,10.967282492109787,236.68,78.89333333333333,646.6666666666666,39.3,0.39104477611940297,0.37841888347695773,0.29231388553422455,0.6760869565217391,0.0,2,0,22,13556.0,16770.0,20624.0,11.11,37.46,69.05,15.05,47.5,Stable,68,"Manyata Tech Park presents an emerging opportunity — current price Rs 11,967/sqft is still accessible, while connectivity score of 40 and 11.9% growth signal strong upside. 5-year ROI estimate: 68.4%. Early-entry advantage recommended.",0
Hulimavu,12.8925,77.6159,South,Builder Floor,2,1320,6800,4916,5231,5709,6231,6800,10.24,0,8.0,8.5,44.6,38.323840520748575,19.110176913645123,8.448677333947208,89.76,44.88,660.0,19.7,0.06865671641791045,0.30086174597227433,0.08836880023320702,0.25,0.23076923076923078,3,1,12,7371.0,8695.0,10194.0,8.4,27.87,49.91,11.83,36.2,Budget,18,Hulimavu offers steady 9.0% annual appreciation. Investment score: 35/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 49.9%.,0
Mg Road,12.9771,77.6021,Central,Apartment,3,1610,15100,12307,12796,13522,14289,15100,4.92,1,12.4,3.1,36.1,22.694401560087755,11.66987132081053,5.246142430146272,243.11,81.03666666666668,536.6666666666666,44.55,0.564179104477612,0.10153615586361935,0.3012396063243521,0.7902173913043476,0.36615384615384616,0,0,24,15907.0,17599.0,19477.0,5.34,16.55,28.99,6.72,32.3,Stable,102,Mg Road offers steady 5.6% annual appreciation. Investment score: 33/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 29.2%.,0
Hulimavu,12.8983,77.6162,South,Villa,1,640,6800,4916,5231,5709,6231,6800,10.49,0,7.8,8.0,43.7,38.323840520748575,19.110176913645123,8.448677333947208,43.52,43.52,640.0,20.349999999999998,0.06865671641791045,0.3102285500187337,0.024181346215244523,0.26413043478260867,0.2246153846153846,3,2,12,7387.0,8695.0,10194.0,8.63,27.87,49.91,11.93,36.9,Budget,6,Hulimavu offers steady 9.0% annual appreciation. Investment score: 35/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 49.9%.,0
Kanakapura Road,12.8612,77.5843,South,Apartment,1,490,8750,6036,6481,7163,7917,8750,11.16,1,7.7,8.6,47.7,44.9635520212061,22.155521429568616,9.727303182620318,42.875,42.875,490.0,43.449999999999996,0.18507462686567164,0.33533158486324466,0.023285997862269047,0.7663043478260869,0.22153846153846155,3,0,17,9602.0,11540.0,13871.0,9.74,31.89,58.53,13.41,49.8,High Potential,67,"Kanakapura Road presents an emerging opportunity — current price Rs 8,481/sqft is still accessible, while connectivity score of 44 and 10.4% growth signal strong upside. 5-year ROI estimate: 59.0%. Early-entry advantage recommended.",0
Indiranagar,12.9775,77.6403,East,Villa,2,920,20150,13529,14602,16257,18099,20150,10.55,1,7.5,4.4,37.3,48.93931554438613,23.946607615181154,10.47203098716929,185.38,92.69,460.0,48.85,0.8656716417910447,0.3124765829898839,0.221102458390594,0.8836956521739132,0.2153846153846154,1,2,13,22223.0,27133.0,33113.0,10.29,34.66,64.33,13.87,42.6,Premium,128,"Indiranagar commands premium pricing at Rs 19,558/sqft with a 11.3% annual growth trajectory. 5-year ROI forecast: 64.6%. Best suited for high-net-worth portfolio diversification.",0
Kengeri,12.9126,77.4858,West,Apartment,1,600,6100,4771,5000,5343,5709,6100,5.97,1,21.0,8.3,43.6,27.85579543072731,14.168070372449934,6.335947361271921,36.6,36.6,600.0,33.2,0.026865671641791045,0.1408767328587486,0.014575438304251865,0.5434782608695653,0.6307692307692307,4,0,18,6485.0,7334.0,8296.0,6.31,20.23,36.0,8.15,36.6,Stable,84,Kengeri offers steady 6.8% annual appreciation. Investment score: 38/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 35.9%.,0
Gottigere,12.8699,77.6036,South,Apartment,2,1020,6700,4939,5235,5684,6171,6700,9.24,0,10.1,9.1,46.5,35.6549908888439,17.874736101337085,7.921741335430088,68.34,34.17,510.0,16.65,0.0626865671641791,0.2633945297864369,0.05863490609253322,0.18369565217391304,0.29538461538461536,3,0,7,7236.0,8414.0,9825.0,8.0,25.58,46.64,10.94,32.9,Stable,49,Gottigere offers steady 8.7% annual appreciation. Investment score: 32/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 46.5%.,0
Manyata Tech Park,13.0407,77.6234,North,Apartment,3,2000,11800,7782,8429,9429,10548,11800,11.85,0,0.5,7.7,20.1,51.6319712156258,25.14582670484675,10.967983771421297,236.0,78.66666666666667,666.6666666666666,39.45,0.36716417910447763,0.3611839640314725,0.29136995238690155,0.6793478260869567,0.0,2,0,22,13078.0,16026.0,19864.0,10.83,35.81,68.34,14.87,47.3,High Potential,76,"Manyata Tech Park presents an emerging opportunity — current price Rs 11,967/sqft is still accessible, while connectivity score of 40 and 11.9% growth signal strong upside. 5-year ROI estimate: 68.4%. Early-entry advantage recommended.",0
Anjanapura,12.8575,77.5646,South,Apartment,2,1240,6050,4637,4878,5241,5631,6050,8.33,0,11.7,9.1,51.3,30.47228811731723,15.435985498950583,6.875847029361859,75.02,37.51,620.0,12.650000000000002,0.023880597014925373,0.22929936305732487,0.0679076611280001,0.09673913043478267,0.3446153846153846,3,0,0,6469.0,7392.0,8459.0,6.93,22.18,39.82,9.6,29.1,Stable,43,Anjanapura offers steady 7.5% annual appreciation. Investment score: 28/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 39.4%.,0
Thanisandra,13.0557,77.6319,North,Apartment,2,1050,9300,5872,6414,7260,8217,9300,12.39,0,11.5,7.4,20.1,58.37874659400545,28.09917355371901,12.18227044741813,97.65,48.825,525.0,28.45,0.21791044776119403,0.38141626077182467,0.09932120101611629,0.44021739130434784,0.3384615384615385,2,0,31,10413.0,13140.0,16552.0,11.97,41.29,77.98,16.24,45.6,Stable,86,Thanisandra offers steady 13.1% annual appreciation. Investment score: 46/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 77.7%.,0
Manyata Tech Park,13.0487,77.6209,North,Apartment,3,1450,11450,7551,8178,9149,10235,11450,10.8,0,0.5,6.8,17.3,51.63554496093232,25.150289649141982,10.96863760418998,166.025,55.34166666666667,483.3333333333333,40.85,0.34626865671641793,0.32184338703634324,0.19423506711642308,0.7097826086956524,0.0,2,0,22,12758.0,15716.0,19219.0,11.42,37.26,67.85,14.45,46.9,High Potential,87,"Manyata Tech Park presents an emerging opportunity — current price Rs 11,967/sqft is still accessible, while connectivity score of 40 and 11.9% growth signal strong upside. 5-year ROI estimate: 68.4%. Early-entry advantage recommended.",0
Kr Puram,13.0032,77.695,East,Apartment,2,940,9650,5074,5745,6829,8118,9650,20.22,1,6.9,7.0,31.6,90.18525817895153,41.309122858398005,17.434096987456883,90.71,45.355,470.0,52.3,0.23880597014925373,0.6747845635069314,0.08968753036549645,0.958695652173913,0.19692307692307692,1,0,20,11336.0,15638.0,21573.0,17.47,62.05,123.55,24.52,75.1,High Potential,22,"Kr Puram presents an emerging opportunity — current price Rs 9,567/sqft is still accessible, while connectivity score of 51 and 18.8% growth signal strong upside. 5-year ROI estimate: 123.3%. Early-entry advantage recommended.",0
Indiranagar,12.9762,77.6424,East,Apartment,3,2180,18850,12655,13659,15207,16931,18850,9.84,1,7.6,4.5,33.4,48.95298301066772,23.95607286118235,10.474565275711756,410.93,136.97666666666666,726.6666666666666,50.7,0.7880597014925373,0.28587485949793934,0.5341967545357376,0.9239130434782609,0.21846153846153846,1,0,13,20828.0,25402.0,30957.0,10.49,34.76,64.23,13.59,43.8,Stable,103,"Indiranagar commands premium pricing at Rs 19,558/sqft with a 11.3% annual growth trajectory. 5-year ROI forecast: 64.6%. Best suited for high-net-worth portfolio diversification.",0
Jayanagar,12.9247,77.5933,South,Apartment,2,1240,16500,11596,12406,13643,15004,16500,9.56,1,8.7,3.7,35.0,42.29044498102794,20.941141977570915,9.217928304747304,204.6,102.3,620.0,48.8,0.6477611940298508,0.27538403896590485,0.24778245117228168,0.8826086956521738,0.2523076923076923,3,0,15,18011.0,21416.0,25569.0,9.16,29.79,54.96,12.29,43.2,Stable,90,Jayanagar offers steady 10.0% annual appreciation. Investment score: 44/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 55.4%.,0
Electronic City,12.8491,77.6627,South,Villa,1,640,7100,4406,4829,5491,6244,7100,13.86,0,0.8,19.5,51.6,61.143894689060375,29.30249499180477,12.668746860672385,45.44,45.44,640.0,23.4,0.08656716417910448,0.4364930685650056,0.02684656921945057,0.33043478260869563,0.009230769230769232,3,2,5,7994.0,10153.0,12926.0,12.59,43.0,82.06,17.3,47.4,Stable,39,Electronic City offers steady 13.8% annual appreciation. Investment score: 46/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 81.5%.,0
Kr Puram,13.0071,77.7006,East,Apartment,2,1210,9150,4811,5447,6475,7697,9150,20.26,1,6.5,6.3,35.2,90.18914986489295,41.312741312741316,17.434697734751637,110.715,55.3575,605.0,50.9,0.208955223880597,0.676283252154365,0.11745721067754968,0.9282608695652175,0.18461538461538463,1,0,20,10719.0,14839.0,20449.0,17.15,62.17,123.49,24.53,74.9,High Potential,29,"Kr Puram presents an emerging opportunity — current price Rs 9,567/sqft is still accessible, while connectivity score of 51 and 18.8% growth signal strong upside. 5-year ROI estimate: 123.3%. Early-entry advantage recommended.",0
Nagarbhavi,12.9634,77.5001,West,Apartment,1,640,6100,4973,5170,5463,5773,6100,5.95,0,17.1,7.8,44.7,22.662376834908507,11.66025993044115,5.239274128300786,39.04,39.04,640.0,10.549999999999997,0.026865671641791045,0.14012738853503187,0.01796249253876372,0.051086956521739085,0.5107692307692309,4,0,25,6423.0,7128.0,7891.0,5.3,16.85,29.36,7.13,23.3,Stable,67,Nagarbhavi offers steady 5.7% annual appreciation. Investment score: 23/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 29.2%.,0
Frazer Town,12.9759,77.6174,Central,Apartment,2,980,12950,10781,11164,11730,12325,12950,4.62,0,11.5,3.9,36.1,20.118727390780077,10.400682011935208,4.689392726893837,126.91,63.455,490.0,20.45,0.43582089552238806,0.09029599100786813,0.13993808909063146,0.266304347826087,0.3384615384615385,0,0,6,13523.0,14823.0,16202.0,4.42,14.46,25.11,6.09,20.2,Stable,139,Frazer Town offers steady 5.1% annual appreciation. Investment score: 22/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 25.8%.,0
Richmond Town,12.9655,77.6035,Central,Builder Floor,3,2040,14300,11185,11722,12525,13383,14300,6.26,1,10.5,2.8,37.0,27.8497988377291,14.171656686626747,6.334700517883651,291.72,97.24000000000001,680.0,46.0,0.5164179104477612,0.15174222555264144,0.36871694498813146,0.8217391304347825,0.3076923076923077,0,1,28,15193.0,17194.0,19435.0,6.24,20.24,35.91,8.26,36.5,Stable,102,Richmond Town offers steady 6.8% annual appreciation. Investment score: 37/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 35.9%.,0
Koramangala,12.9313,77.6269,South,Apartment,3,1680,22350,13991,15308,17366,19701,22350,12.43,0,5.3,5.2,37.9,59.74555071117147,28.69975814810549,12.423523549981219,375.48,125.16000000000001,560.0,25.75,0.9970149253731343,0.38291494941925813,0.4849872985466206,0.3815217391304348,0.14769230769230768,3,0,19,25118.0,31743.0,40108.0,12.38,42.03,79.45,16.5,32.7,Premium,83,"Koramangala commands premium pricing at Rs 21,336/sqft with a 13.3% annual growth trajectory. 5-year ROI forecast: 79.6%. Best suited for high-net-worth portfolio diversification.",0
Bannerghatta Road,12.8742,77.5925,South,Apartment,2,1290,9400,5884,6438,7304,8286,9400,11.56,0,8.8,6.7,38.8,59.755268524813054,28.696604600219054,12.425233278239723,121.26,60.63,645.0,21.8,0.22388059701492538,0.3503184713375797,0.1320951151459626,0.2956521739130435,0.25538461538461543,3,0,2,10558.0,13361.0,16868.0,12.32,42.14,79.45,16.15,41.0,Stable,107,Bannerghatta Road offers steady 13.5% annual appreciation. Investment score: 43/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 79.6%.,0
Hennur,13.0377,77.6395,North,Builder Floor,2,1070,9100,6110,6595,7342,8174,9100,12.1,0,12.3,7.9,20.4,48.93617021276596,23.944429310814492,10.471447739685736,97.37,48.685,535.0,27.5,0.20597014925373133,0.37055076807793186,0.09893252266133623,0.41956521739130437,0.3630769230769231,2,1,9,10020.0,12221.0,14907.0,10.11,34.3,63.81,14.49,42.9,Stable,38,Hennur offers steady 11.2% annual appreciation. Investment score: 42/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 64.4%.,0
Rt Nagar,13.0237,77.5904,North,Apartment,1,510,7800,6564,6783,7106,7445,7800,5.38,0,13.9,5.3,24.2,18.82998171846435,9.766394596115958,4.407454494661089,39.78,39.78,510.0,24.0,0.12835820895522387,0.11877107530910454,0.018989713904968144,0.34347826086956523,0.4123076923076923,2,0,29,8133.0,8902.0,9687.0,4.27,14.13,24.19,6.14,27.6,Stable,48,Rt Nagar offers steady 4.8% annual appreciation. Investment score: 27/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 24.1%.,0
Malleshwaram,12.9987,77.5716,North,Apartment,3,1790,14500,13186,13426,13775,14133,14500,2.42,1,12.9,3.7,27.7,9.965114515395115,5.263157894736842,2.403248237531308,259.55,86.51666666666667,596.6666666666666,48.25,0.5283582089552239,0.007868115399025852,0.32406057829786644,0.8706521739130434,0.38153846153846155,2,0,21,14827.0,15543.0,16318.0,2.26,7.19,12.54,3.12,29.2,Stable,85,Malleshwaram offers steady 2.6% annual appreciation. Investment score: 30/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 12.7%.,0
Gottigere,12.8696,77.5978,South,Builder Floor,2,1280,6500,4790,5078,5514,5987,6500,7.93,0,11.0,9.3,47.4,35.699373695198325,17.881755531374683,7.930567553612877,83.2,41.6,640.0,15.3,0.050746268656716415,0.21431247658298988,0.07926262163550299,0.15434782608695655,0.3230769230769231,3,1,7,7023.0,8182.0,9506.0,8.05,25.88,46.25,10.42,30.5,Stable,130,Gottigere offers steady 8.7% annual appreciation. Investment score: 32/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 46.5%.,0
Whitefield,12.9719,77.7502,East,Apartment,3,1940,14800,6421,7551,9450,11826,14800,23.98,1,2.0,13.5,38.1,130.4936925712506,56.613756613756614,23.215334780881335,287.12,95.70666666666666,646.6666666666666,53.95,0.5462686567164179,0.8156612963656801,0.36233151487388776,0.9945652173913043,0.046153846153846156,1,0,33,18239.0,27686.0,42052.0,23.24,87.07,184.14,31.87,85.2,High Growth,81,Whitefield is among the fastest appreciating micro-markets with 25.1% YoY growth. Investment score: 86/100. Projected 3-year ROI: 87.1%. Ideal for growth-oriented investors with a medium horizon.,1
Whitefield,12.9678,77.7468,East,Apartment,2,1210,14300,6204,7296,9131,11427,14300,28.05,1,2.0,13.3,39.7,130.49645390070924,56.6093527543533,23.215703811158672,173.03,86.515,605.0,53.15,0.5164179104477612,0.9681528662420383,0.2039589666708311,0.9771739130434783,0.046153846153846156,1,0,33,17588.0,26671.0,40601.0,22.99,86.51,183.92,33.5,90.5,High Growth,10,Whitefield is among the fastest appreciating micro-markets with 25.1% YoY growth. Investment score: 86/100. Projected 3-year ROI: 87.1%. Ideal for growth-oriented investors with a medium horizon.,1
